#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days
,1,"Bitcoin
BTC



Buy","$121,119.79",0.18%,1.76%,0.45%,"$2,414,139,643,377","$73,112,260,368
603.39K",19.93M BTC
,2,"Ethereum
ETH



Buy","$4,339.81",0.21%,3.79%,3.29%,"$523,829,225,784","$47,140,131,476
10.86M",120.7M ETH
,3,"Tether
USDT



Buy",$1.00,0.02%,0.03%,0.00%,"$178,438,573,913","$172,338,672,099
172.26B",178.33B USDT
,4,"BNB
BNB



Buy","$1,247.11",0.58%,5.06%,15.10%,"$173,577,038,418","$8,273,258,930
6.65M",139.18M BNB
,5,"XRP
XRP



Buy",$2.79,0.32%,3.69%,8.75%,"$167,327,087,550","$5,612,504,974
2.00B",59.87B XRP
,6,"Solana
SOL



Buy",$218.63,0.05%,4.20%,5.85%,"$119,417,936,711","$8,009,270,534
36.59M",546.2M SOL
,7,"USDC
USDC



Buy",$1.00,0.02%,0.01%,0.00%,"$75,572,610,747","$20,020,574,083
20.02B",75.58B USDC
,8,"Dogecoin
DOGE



Buy",$0.25,0.32%,4.28%,4.85%,"$37,398,732,600","$3,222,299,924
13.03B",151.28B DOGE
,9,"TRON
TRX



Buy",$0.34,0.02%,1.46%,1.80%,"$31,860,520,613","$1,027,395,485
3.05B",94.66B TRX
,10,"Cardano
ADA



Buy",$0.81,0.00%,3.62%,7.07%,"$28,961,729,085","$1,195,807,794
1.47B",35.82B ADA
,11,"Chainlink
LINK



Buy",$21.74,0.05%,3.16%,4.73%,"$14,744,931,371","$871,644,347
39.95M",678.09M LINK
,12,"Ethena USDe
USDe



Buy",$1.00,0.00%,0.02%,0.04%,"$14,671,713,795","$332,693,764
332.53M",14.66B USDe
,13,"Hyperliquid
HYPE



Buy",$43.98,1.19%,5.44%,12.68%,"$14,808,135,476","$513,034,218
11.77M",336.68M HYPE
,14,"Sui
SUI



Buy",$3.38,0.21%,4.03%,5.68%,"$12,279,902,994","$1,022,997,147
300.78M",3.62B SUI
,15,"Stellar
XLM



Buy",$0.38,0.18%,3.15%,8.03%,"$12,067,487,133","$244,677,973
648.17M",32.01B XLM
,16,"Avalanche
AVAX



Buy",$28.05,0.06%,3.50%,9.34%,"$11,845,317,041","$586,091,016
20.80M",422.27M AVAX
,17,"Bitcoin Cash
BCH



Buy",$574.77,0.11%,1.85%,2.72%,"$11,459,059,413","$298,642,377
518.60K",19.93M BCH
,18,"Litecoin
LTC



Buy",$118.36,0.47%,0.34%,0.80%,"$9,041,507,770","$931,775,746
7.87M",76.38M LTC
,19,"Hedera
HBAR



Buy",$0.21,0.33%,3.87%,7.79%,"$8,986,471,363","$360,099,311
1.69B",42.4B HBAR
,20,"UNUS SED LEO
LEO



Buy",$9.61,0.48%,0.49%,0.34%,"$8,866,041,159","$783,315
81.50K",922.48M LEO
,21,"Mantle
MNT



Buy",$2.33,0.31%,13.54%,19.39%,"$7,597,362,159","$792,938,410
339.51M",3.25B MNT
