#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days
393,"HarryPotterObamaSonic10Inu (ERC-20)
BITCOIN



Buy",$0.09 ,0.32%,10.20%,2.58%,"$91,264,005 ","$8,277,294
90.85M",999.79M BITCOIN,
409,"Osaka Protocol
OSAK



Buy",$0.06 ,0.22%,13.28%,18.43%,"$85,305,470 ","$105,042
924.58B",750.86T OSAK,
415,"ConstitutionDAO
PEOPLE



Buy",$0.02 ,0.10%,7.18%,9.22%,"$83,516,184 ","$34,221,987
2.07B",5.06B PEOPLE,
416,"Giggle Fund
GIGGLE



Buy",$84.72 ,4.43%,43.74%,100.93%,"$84,724,559 ","$146,641,746
1.75M",1M GIGGLE,
424,"Goatseus Maximus
GOAT



Buy",$0.08 ,0.05%,6.12%,8.26%,"$81,058,817 ","$16,739,473
206.76M",999.99M GOAT,
429,"Wiki Cat
WKC



Buy",$0.06 ,0.40%,8.97%,19.40%,"$80,156,437 ","$905,028
6.13T",545.84T WKC,
445,"Jelly-My-Jelly
JELLYJELLY



Buy",$0.08 ,0.34%,0.81%,49.63%,"$76,370,492 ","$10,860,969
141.93M",999.99M JELLYJELLY,
448,"Bertram The Pomeranian
BERT



Buy",$0.08 ,0.30%,0.76%,11.92%,"$75,622,131 ","$4,780,423
61.01M",966.74M BERT,
450,"Aura
AURA



Buy",$0.08 ,2.42%,13.82%,33.19%,"$74,729,910 ","$2,486,741
32.03M",963.28M AURA,
455,"Tutorial
TUT



Buy",$0.09 ,0.46%,0.30%,5.95%,"$73,669,119 ","$22,368,642
254.08M",837.61M TUT,
459,"siren
SIREN



Buy",$0.10 ,0.07%,14.25%,0.17%,"$72,809,422 ","$4,256,948
42.71M",730.88M SIREN,
475,"Comedian
BAN



Buy",$0.07 ,0.66%,0.09%,2.63%,"$69,440,484 ","$14,820,219
213.49M",999.96M BAN,
487,"Ape and Pepe
APEPE



Buy",$0.05 ,0.08%,14.33%,24.92%,"$65,371,714 ","$24,352,128
13.93T",37.39T APEPE,
517,"Simon's Cat
CAT



Buy",$0.06 ,0.30%,9.44%,4.14%,"$60,744,452 ","$17,240,238
2.13T",7.52T CAT,
524,"DOGS
DOGS



Buy",$0.00 ,0.17%,2.92%,7.73%,"$60,081,690 ","$37,113,135
319.38B",516.75B DOGS,
525,"Vine Coin
VINE



Buy",$0.06 ,0.49%,10.53%,3.52%,"$59,940,750 ","$16,388,805
273.41M",999.99M VINE,
528,"Pythia
PYTHIA



Buy",$0.06 ,0.22%,5.71%,27.45%,"$59,592,538 ","$1,960,794
32.84M",998.37M PYTHIA,
532,"Degen
DEGEN



Buy",$0.00 ,0.01%,6.23%,10.93%,"$58,339,090 ","$12,081,952
4.44B",21.44B DEGEN,
559,"Banana For Scale
BANANAS31



Buy",$0.01 ,0.21%,8.24%,2.40%,"$52,787,752 ","$18,112,764
3.43B",10B BANANAS31,
569,"Artificial Liquid Intelligence
ALI



Buy",$0.01 ,0.58%,5.34%,8.07%,"$51,361,301 ","$2,295,389
407.49M",9.11B ALI,
